id_venta,fecha,id_producto,producto,categoria,cantidad,precio_unitario,total,metodo_pago,vendedor
5062,2024-01-15,1017,El poder del ahora,Desarrollo Personal,2,14.5,29.0,Mercado Pago,Ana García
5037,2024-01-17,1137,El amor en los tiempos del cólera,Literatura Latinoamericana,1,16.0,16.0,Efectivo,María Fernández
5054,2024-01-17,1025,Conversación en la catedral,Literatura Latinoamericana,3,15.0,45.0,Transferencia,Sofía Martínez
5089,2024-01-17,1032,Fundación,Ciencia Ficción,1,14.99,14.99,Efectivo,María Fernández
5012,2024-01-18,1023,Ficciones,Cuentos,1,13.99,13.99,Mercado Pago,Carlos López
5021,2024-01-18,1099,El viejo y el mar,Clásicos,1,11.0,11.0,Efectivo,Sofía Martínez
5006,2024-01-20,1060,El poder de los hábitos,Desarrollo Personal,1,15.5,15.5,Transferencia,María Fernández
5042,2024-01-20,1006,El principito,Infantil,1,9.99,9.99,Efectivo,Sofía Martínez
5053,2024-01-20,1095,El guardián entre el centeno,Ficción,3,13.0,39.0,Transferencia,Sofía Martínez
5061,2024-01-20,1019,La sombra del viento,Ficción,3,16.0,48.0,Tarjeta crédito,Carlos López
5043,2024-01-21,1005,1984,Ficción,1,13.5,13.5,Efectivo,Ana García
5099,2024-01-21,1123,Veinte poemas de amor,Poesía,3,11.0,33.0,Mercado Pago,Luis Rodríguez
5038,2024-01-22,1015,El código Da Vinci,Thriller,1,15.0,15.0,Transferencia,Sofía Martínez
5070,2024-01-22,1003,Hábitos atómicos,Desarrollo Personal,2,18.69,37.38,Tarjeta débito,Carlos López
5010,2024-01-23,1020,El nombre del viento,Fantasía,2,18.0,36.0,Efectivo,María Fernández
5079,2024-01-23,1038,Los juegos del hambre,Juvenil,3,13.5,40.5,Efectivo,Carlos López
5045,2024-01-24,1040,Crepúsculo,Juvenil,3,14.0,42.0,Tarjeta crédito,Luis Rodríguez
5081,2024-01-26,1054,Pensar rápido pensar despacio,Psicología,1,18.0,18.0,Tarjeta débito,María Fernández
